qt.qpa.xcb: X server does not support XInput 2
qt.qpa.gl: QXcbConnection: Failed to initialize GLX
libEGL warning: DRI3 error: Could not get DRI3 device
libEGL warning: Ensure your X server supports DRI3 to get accelerated rendering
Iteration time: 75.6785 ms Threads: 96
Iteration time: 55.0093 ms Threads: 96
Iteration time: 52.3455 ms Threads: 96
Iteration time: 42.3138 ms Threads: 96
Iteration time: 46.7238 ms Threads: 96
Iteration time: 36.5327 ms Threads: 96
Iteration time: 40.4016 ms Threads: 96
Iteration time: 55.0091 ms Threads: 96
Iteration time: 48.4473 ms Threads: 96
Iteration time: 44.4203 ms Threads: 96
Iteration time: 50.0277 ms Threads: 96
Iteration time: 45.4001 ms Threads: 96
Iteration time: 42.1714 ms Threads: 96
Iteration time: 33.8828 ms Threads: 96
Iteration time: 41.0532 ms Threads: 96
Iteration time: 46.3653 ms Threads: 96
Iteration time: 44.5267 ms Threads: 96
Iteration time: 44.484 ms Threads: 96
Iteration time: 47.5272 ms Threads: 96
Iteration time: 49.7491 ms Threads: 96
Iteration time: 54.3906 ms Threads: 96
Iteration time: 50.3624 ms Threads: 96
Iteration time: 47.3004 ms Threads: 96
Iteration time: 43.5532 ms Threads: 96
Iteration time: 47.4737 ms Threads: 96
Iteration time: 45.1479 ms Threads: 96
Iteration time: 48.5934 ms Threads: 96
Iteration time: 46.3887 ms Threads: 96
Iteration time: 47.741 ms Threads: 96
Iteration time: 45.5435 ms Threads: 96
Iteration time: 50.8709 ms Threads: 96
Iteration time: 55.743 ms Threads: 96
Iteration time: 46.3774 ms Threads: 96
Iteration time: 47.8928 ms Threads: 96
Iteration time: 48.8034 ms Threads: 96
Iteration time: 43.7809 ms Threads: 96
Iteration time: 45.6355 ms Threads: 96
Iteration time: 47.5141 ms Threads: 96
Iteration time: 39.3617 ms Threads: 96
Iteration time: 31.798 ms Threads: 96
Iteration time: 49.3232 ms Threads: 96
Iteration time: 50.1983 ms Threads: 96
Iteration time: 47.3461 ms Threads: 96
Iteration time: 50.8443 ms Threads: 96
Iteration time: 51.6891 ms Threads: 96
Iteration time: 45.6608 ms Threads: 96
Iteration time: 34.7496 ms Threads: 96
Iteration time: 34.8329 ms Threads: 96
Iteration time: 45.5918 ms Threads: 96
Iteration time: 45.262 ms Threads: 96
Iteration time: 49.7145 ms Threads: 96
Iteration time: 52.8063 ms Threads: 96
Iteration time: 42.3184 ms Threads: 96
Iteration time: 45.3599 ms Threads: 96
Iteration time: 47.5241 ms Threads: 96
Iteration time: 34.9258 ms Threads: 96
Iteration time: 32 ms Threads: 96
Iteration time: 36.577 ms Threads: 96
Iteration time: 35.7987 ms Threads: 96
Iteration time: 41.087 ms Threads: 96
Iteration time: 47.7076 ms Threads: 96
Iteration time: 47.0281 ms Threads: 96
Iteration time: 43.3553 ms Threads: 96
Iteration time: 47.2277 ms Threads: 96
Iteration time: 36.3837 ms Threads: 96
Iteration time: 38.7373 ms Threads: 96
Iteration time: 44.4754 ms Threads: 96
Iteration time: 39.6984 ms Threads: 96
Iteration time: 41.5878 ms Threads: 96
Iteration time: 45.9673 ms Threads: 96
Iteration time: 54.1153 ms Threads: 96
